小区,区域,商圈,在售,在租,建成时间,均价(元/平米),均价环比上月(%)
上海康城,闵行,莘庄,945,377,2001,"
39101","
1102.05%"
万科假日风景,闵行,春申,655,166,2005,"
61272","
0.85%"
万源新城,闵行,金虹桥,628,446,2010,"
44358","
8.26%"
水语人家,闵行,浦江,627,100,2007,"
45271","
1.27%"
万科城市花园,闵行,七宝,627,122,1994,"
43233","
3.02%"
浦江馨都,闵行,浦江,576,77,2013,"
38210","
3.76%"
华光花园,闵行,金虹桥,564,215,2000,"
56339","
14.21%"
绿城玫瑰园,闵行,马桥,524,14,2014,"
59576","
0.31%"
虹桥花苑,闵行,金虹桥,518,314,2001,"
57139","
1.25%"
万源城尚郡,闵行,古美,512,268,2012,"
85168","
0.73%"
浦江华侨城,闵行,浦江,510,134,2015,"
57506","
0.89%"
浦江宝邸,闵行,浦江,497,284,2009,"
37980","
0.5%"
西班牙名园,闵行,梅陇,496,180,2003,"
61700","
3.96%"
上海阳城,闵行,罗阳,470,172,2002,"
55571","
6.54%"
万源城朗郡,闵行,古美,432,437,2010,"
72320","
0.97%"
九歌上郡,闵行,静安新城,401,352,2005,"
53904","
6.92%"
好世鹿鸣苑,闵行,莘庄,397,240,2007,"
52392","
1.27%"
春申景城一期,闵行,春申,386,149,2005,"
60506","
0.68%"
好世凤凰城,闵行,莘庄,379,143,2005,"
47229","
1.66%"
金都花好悦园,闵行,颛桥,370,142,2004,"
48982","
2.41%"
大上海国际花园,闵行,静安新城,367,163,1994,"
41048","
5.29%"
东苑古龙城,闵行,古美,367,368,2006,"
72738","
2.14%"
皇都花园,闵行,七宝,344,51,2006,"
72516","
23.40%"
爱庐世纪新苑,闵行,颛桥,332,159,2008,"
42448","
3.86%"
南方新村,闵行,古美,331,549,1995,"
61306","
3.21%"
欣佳宝邸,闵行,浦江,320,103,2012,"
34214","
1.75%"
航天新苑,闵行,金虹桥,308,27,1999,"
45372","
6.75%"
金汇华光城,闵行,金汇,304,81,2000,"
64136","
21.92%"
万源城逸郡,闵行,古美,299,192,2007,"
73224","
0.56%"
蔚蓝城市花园,闵行,古美,295,257,2005,"
72042","
2.78%"
流晶逸彩虹华苑,闵行,金虹桥,292,121,1996,"
58189","
22.57%"
上海春城,闵行,春申,292,130,2005,"
53716","
1.73%"
盛源花园,闵行,罗阳,291,38,2001,"
41518","
3.45%"
爱博家园,闵行,华漕,289,526,2009,"
46748","
1.76%"
上海康城二期,闵行,莘庄,287,64,2002,"
34424","
1.37%"
东方花园二期,闵行,七宝,280,82,2005,"
58672","
1.63%"
三洲花园,闵行,罗阳,279,79,2002,"
45976","
4.56%"
鹤北一街坊,闵行,老闵行,276,121,1995,"
41838","
1.85%"
锦绣江南四期,闵行,金汇,274,71,2005,"
54054","
2.25%"
聚缘北庭,闵行,浦江,274,82,2012,"
32950","
1.94%"
静安新城五区,闵行,静安新城,267,244,1998,"
41488","
8.01%"
古北新城,闵行,金虹桥,265,90,2004,"
68244","
13.05%"
新梅花苑,闵行,古美,260,199,1995,"
52913","
5.03%"
君莲新城广润苑,闵行,颛桥,257,172,2010,"
47531","
1.35%"
浦润苑(闵行),闵行,浦江,254,23,2012,"
35501","
0.18%"
嘉和花苑,闵行,梅陇,253,58,2004,"
63839","
3.36%"
浦江世博家园,闵行,浦江,250,60,2006,"
49326","
2.3%"
新时代景庭,闵行,古美,250,196,2004,"
73595","
1.95%"
韵动时代,闵行,金汇,248,87,2002,"
44530","
1.79%"
申莘一村,闵行,颛桥,245,66,1997,"
39076","
0.94%"
浦江智汇园,闵行,浦江,243,54,2009,"
52009","
1.62%"
金硕河畔景园,闵行,浦江,242,63,2008,"
30645","
0.11%"
罗阳七村,闵行,罗阳,242,84,1996,"
47936","
4.77%"
沁春园一村,闵行,莘庄,242,47,2004,"
51107","
0.13%"
新时代富嘉花园,闵行,古美,242,171,2006,"
65903","
1.26%"
虹浦新城,闵行,浦江,238,53,2007,"
40641","
0.37%"
平阳绿家园,闵行,古美,238,64,2000,"
59747","
5.23%"
未名园,闵行,罗阳,234,57,2004,"
47991","
3.68%"
瑞和新苑,闵行,浦江,233,29,2007,"
43232","
0.83%"
浦江丽都,闵行,浦江,232,14,2009,"
39152","
1.03%"
水清年华花园,闵行,七宝,232,209,2006,"
42853","
3.05%"
春申府邸,闵行,春申,230,62,2005,"
49735","
1.4%"
三佳花苑,闵行,七宝,228,31,1994,"
55312","
0.14%"
宁谷商务大厦,闵行,古美,222,30,2011,"
19291","
1.08%"
春申景城二期,闵行,春申,220,38,2007,"
67023","
2.45%"
虹桥高尔夫别墅,闵行,金虹桥,220,192,2003,"
52641","
9.95%"
浦江世博家园十一街坊,闵行,浦江,220,64,2005,"
41411","
2.32%"
融信绿地国际,闵行,华漕,219,2,2017,"
29777","
6.82%"
上海莘城,闵行,莘庄,217,105,2002,"
35645","
4.06%"
上海康城三期,闵行,莘庄,216,86,2002,"
38082","
1.3%"
风度国际,闵行,古美,214,56,2006,"
63147","
1.32%"
浦江颐城晶寓,闵行,浦江,214,172,2014,"
60371","
0.27%"
君莲宏润丽苑,闵行,颛桥,210,41,2012,"
35605","
1.75%"
龙柏香榭苑,闵行,龙柏,210,106,2003,"
50709","
3.03%"
银河新都,闵行,春申,210,157,2007,"
51486","
2.3%"
万科时一区,闵行,华漕,208,144,2014,"
79427","
0.74%"
公园养生豪庭,闵行,七宝,206,50,2008,"
57056","
2.37%"
鹏欣一品漫城,闵行,浦江,206,75,2007,"
52801","
6.48%"
邻里苑,闵行,莘庄,201,143,2008,"
46355","
5.98%"
水景书香园,闵行,七宝,201,14,2007,"
56340","
0.70%"
黎明花园,闵行,七宝,200,27,1994,"
39680","
3.08%"
清馨苑,闵行,莘庄,200,64,2002,"
37234","
0.27%"
上海春城三期,闵行,春申,200,57,2005,"
45996","
3.27%"
绿地蓝海,闵行,莘庄,198,166,2006,"
30100","
1.87%"
莲花河畔景苑,闵行,罗阳,197,17,2010,"
69482","
4.44%"
浦江世博家园四街坊,闵行,浦江,196,162,2005,"
42370","
1.95%"
保利茉莉公馆,闵行,浦江,195,85,2014,"
65468","
0.43%"
莲花公寓(闵行),闵行,古美,194,44,1999,"
55528","
8.10%"
茂盛城市花园,闵行,七宝,194,46,2003,"
58020","
2.36%"
银都六村,闵行,颛桥,194,72,1995,"
49250","
1.5%"
龙柏四季花园,闵行,龙柏,193,70,2004,"
46738","
4.73%"
梅陇二村,闵行,梅陇,192,53,1994,"
43463","
1.53%"
江南星城二期,闵行,古美,191,38,2005,"
65401","
17.48%"
万科城花新园,闵行,七宝,190,516,2010,"
58737","
0.01%"
万科城,闵行,马桥,189,15,2015,"
45575","
0.75%"
总部1号,闵行,春申,189,21,2007,"
12107","
3.82%"
万兆家园叠彩人家,闵行,七宝,188,46,2005,"
43348","
0.64%"
昆阳小区,闵行,老闵行,185,13,1997,"
33963","
6.82%"
九歌花园三期,闵行,静安新城,184,69,2008,"
51302","
4.53%"
浦江世博家园七街坊,闵行,浦江,184,70,2005,"
46415","
1.06%"
沁春名邸,闵行,莘庄,184,53,2005,"
44465","
0.28%"
红旗四街坊,闵行,老闵行,181,67,1990,"
38348","
0.88%"
平阳四街坊,闵行,古美,178,48,1998,"
51776","
2.46%"
浦江世博家园八街坊,闵行,浦江,178,68,2005,"
50035","
1.24%"
紫藤一村,闵行,梅陇,178,22,1994,"
48153","
1.72%"
西郊英园,闵行,七宝,177,99,2009,"
56276","
1.04%"
上海星河湾,闵行,颛桥,176,138,2011,"
54163","
0.44%"
莘城苑,闵行,莘庄,175,37,1999,"
41565","
2.16%"
宝安新苑,闵行,莘庄,174,36,2004,"
48438","
3.47%"
浦江坤庭,闵行,浦江,174,31,2013,"
43174","
0.46%"
望族苑,闵行,梅陇,174,15,2003,"
52928","
1.47%"
西郊九韵城,闵行,华漕,171,30,2004,"
42586","
0.95%"
丽都城,闵行,老闵行,169,87,2009,"
51387","
1.38%"
蓝色港湾,闵行,古美,167,120,2004,"
54135","
5.78%"
罗阳一村,闵行,罗阳,167,30,1995,"
40306","
3.86%"
梅陇城世纪苑,闵行,梅陇,167,22,2000,"
52118","
1.13%"
平吉一村,闵行,古美,165,126,1995,"
41103","
1.01%"
三春汇秀苑,闵行,莘庄,165,16,2005,"
48659","
1.97%"
正峰苑,闵行,莘庄,165,22,2003,"
41515","
0.33%"
南郊别墅公寓,闵行,春申,163,12,2005,"
44245","
2.23%"
浦江世博家园二街坊,闵行,浦江,163,152,2006,"
46175","
1.38%"
万科朗润园,闵行,七宝,162,323,2006,"
56332","
0.76%"
虹桥帝梵尼花园,闵行,金虹桥,161,106,2005,"
50119","
0.18%"
锦鸿公寓,闵行,梅陇,160,6,1996,"
40442","
1.28%"
金铭文博水景公寓,闵行,颛桥,159,52,2014,"
51896","
2.46%"
万科花园小城,闵行,吴泾,159,81,2007,"
43467","
1.58%"
沧源小区,闵行,老闵行,158,103,1994,"
41095","
0.29%"
金俊苑,闵行,龙柏,158,51,1999,"
33377","
3.09%"
阳光星期八,闵行,古美,156,85,2001,"
55931","
0.6%"
凤庆小区,闵行,老闵行,155,31,1998,"
36871","
4.41%"
御涛园,闵行,马桥,154,11,2009,"
42879","
2.22%"
东苑绿世界,闵行,古美,151,42,2003,"
52876","
1.97%"
高兴花园二三四街坊,闵行,莘庄,151,192,1996,"
49917","
2.14%"
贵都新村,闵行,颛桥,151,120,2001,"
43630","
1.69%"
望族新城,闵行,古美,150,101,2003,"
61066","
3.43%"
永康城佳兴苑,闵行,浦江,149,29,2013,"
26971","
2.14%"
龙柏三村先锋公寓,闵行,龙柏,148,121,1995,"
44466","
6.03%"
海上新村,闵行,静安新城,147,83,1996,"
50782","
3.19%"
广海花园,闵行,七宝,144,24,2007,"
41223","
4.05%"
浦江瑞和城,闵行,浦江,144,53,2013,"
28698","
0.36%"
上海康城四期,闵行,莘庄,144,61,2007,"
32166","
0.57%"
奥玎宫廷别墅,闵行,金虹桥,143,91,2001,"
39925","
2.58%"
航华一村一街坊,闵行,航华,143,91,1995,"
37417","
4.02%"
景江苑,闵行,浦江,143,35,2004,"
43789","
1.71%"
井亭苑,闵行,龙柏,142,50,2005,"
57352","
8.62%"
夏朵小城三期,闵行,马桥,142,19,2006,"
35457","
1.49%"
奥塞花园,闵行,莘庄,141,74,2005,"
57038","
0.57%"
古美西路316弄小区,闵行,古美,141,204,2000,"
40610","
0.29%"
蒲汇新村,闵行,七宝,141,29,1996,"
69167","
1.5%"
万科优诗美地,闵行,七宝,140,115,2000,"
47085","
0.93%"
陈行一村,闵行,浦江,139,1,1997,"
23917","
1.13%"
虹桥首席,闵行,金虹桥,139,3,2003,"
46251","
1.19%"
虹田苑,闵行,金虹桥,138,67,2004,"
74395","
3.22%"
虹桥晶典苑,闵行,金虹桥,138,28,2011,"
48917","
0.36%"
合生城邦四街坊,闵行,老闵行,138,48,2009,"
44023","
1.70%"
江南星城,闵行,古美,138,98,2005,"
63449","
3.06%"
晶杰苑,闵行,古美,138,165,2013,"
72698","
35.06%"
金汇花园一街坊,闵行,龙柏,137,25,1994,"
57732","
5.72%"
丽华公寓,闵行,莘庄,137,30,2002,"
45689","
1.85%"
南方城,闵行,古美,137,269,2004,"
69466","
4.07%"
万科VMO,闵行,浦江,137,24,2011,"
18140","
2.78%"
新梅公寓,闵行,古美,137,42,2000,"
46280","
0.62%"
永康城香樟苑,闵行,浦江,137,49,2014,"
27507","
1.58%"
招商雍华府,闵行,颛桥,137,51,2010,"
53769","
11.39%"
紫京苑,闵行,金虹桥,137,43,2000,"
54772","
0.21%"
金汇鸿锦苑,闵行,龙柏,136,26,2000,"
40654","
7.68%"
白雪公主,闵行,七宝,135,23,2004,"
50161","
3.67%"
明申花园,闵行,金虹桥,135,14,1999,"
44850","
1.14%"
龙柏西郊公寓,闵行,龙柏,134,15,2003,"
49259","
3.09%"
罗阳二村,闵行,罗阳,133,23,1996,"
45225","
3.62%"
海联花苑,闵行,金虹桥,132,39,2004,"
56241","
7.74%"
阳明国际花苑,闵行,莘庄,132,21,2001,"
47826","
2.37%"
九歌茗园,闵行,静安新城,130,83,2004,"
83903","
4.38%"
万科城市花园二期,闵行,七宝,129,81,1998,"
43352","
1.59%"
新金山花园,闵行,莘庄,129,23,1997,"
42163","
0.52%"
银都八村,闵行,颛桥,129,23,1995,"
40613","
1.3%"
天安豪园,闵行,静安新城,128,446,2014,"
40842","
11.41%"
航华四村一街坊,闵行,航华,127,74,1995,"
37633","
2.67%"
莘松三村,闵行,莘庄,127,56,1989,"
54280","
1.1%"
